X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
19,10,3,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0
20,10,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0
20,10,1,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0
20,10,2,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0
20,10,3,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0
20,10,3,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0
18,3,0,0,0,0,0,0,-77,0,0,-85,0,0,0,-77,0,0,0,0,-83,-78
18,3,1,0,0,0,0,0,-77,0,0,0,0,0,0,-77,0,0,0,0,-83,-78
18,3,2,0,-70,0,0,0,-77,0,0,0,0,0,0,-77,0,0,0,0,-83,-78
18,3,3,0,-70,0,0,0,-80,0,0,0,0,0,0,-77,0,0,0,0,-83,-78
18,3,3,0,-69,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,-79,-83,-92
18,4,0,0,-73,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,-79,-83,-92
18,4,1,0,-73,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,-79,-83,-92
18,4,2,0,-73,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,-79,-83,0
18,4,3,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,-75,-83,0
18,5,0,0,0,0,0,0,-82,-82,0,0,0,0,0,-81,0,0,0,-82,-83,-82
18,5,1,0,0,0,0,0,-82,0,0,0,0,0,0,-81,0,0,0,-82,-83,-82
18,5,2,0,0,0,0,0,-82,0,0,0,0,0,0,-81,0,0,0,-76,-83,-82
18,5,3,0,-69,0,0,0,-82,0,0,0,0,0,0,-81,0,0,0,-76,-83,-82
18,5,3,0,-65,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-72,-83,0
18,6,0,0,-65,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-73,-83,0
18,6,1,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-83,0
18,6,2,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-83,0
18,6,3,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-83,0
18,7,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,-88,0
18,7,1,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-85,0
18,7,2,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-85,0
18,7,3,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-85,0
18,8,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-85,0
18,8,1,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-85,0
18,8,2,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-85,0
18,8,3,0,-89,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,-70,0,0
18,9,0,0,-42,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,-71,0,0
18,9,1,0,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0
18,9,2,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0
18,9,3,0,-45,0,0,0,0,0,0,-85,0,0,0,0,0,0,-84,-72,-83,0
18,9,3,0,-45,0,0,-76,-77,-66,0,-85,0,0,0,-76,0,-80,-84,-72,-83,-79
18,9,3,-68,-45,0,-68,-76,-77,-60,-68,0,0,-68,-68,-62,-68,-80,0,-79,-62,-79
18,9,3,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,-62,0
10,1,0,0,0,0,0,0,0,-70,0,-52,0,0,0,-52,0,0,-52,0,-62,-52
10,1,1,0,0,0,-73,0,-58,-72,0,-56,0,0,-73,-56,0,0,-56,0,-54,-56
10,1,2,0,0,0,-73,0,-62,-71,0,-60,0,0,-73,-61,0,0,-61,-80,-64,-61
10,1,3,0,0,0,-73,0,-56,-61,0,-55,0,0,-73,-56,0,0,-56,-80,-64,-55
10,1,3,0,0,0,-73,-84,-56,-55,0,-55,0,0,-73,-56,0,-79,-56,-81,-64,-52
11,1,0,0,0,0,0,-84,-53,-63,0,-53,0,0,0,-53,0,-79,-53,-81,-52,-53
11,1,1,0,0,0,0,-77,-57,-61,0,-57,0,0,0,-57,0,0,-57,0,-53,-57
11,1,2,0,0,0,0,-77,-60,-56,0,-60,0,0,0,-60,0,-77,-60,0,-57,-62
11,1,3,0,0,0,0,-77,-54,-53,0,-54,0,0,0,-54,0,-79,-54,0,-61,-54
